dataset,algorithm,min_support,mean_time_s,std_time_s,median_time_s,min_time_s,max_time_s,cv_time,ci95_s,mean_n_rules,std_n_rules,mean_mem_mb,max_mem_mb,mean_mem_spmf_mb,max_mem_spmf_mb,mean_mem_rss_mb,max_mem_rss_mb,n_valid_runs
BMSWebView2,CMRules,0.02,0.40333863347768784,0.053981158010473484,0.3797537498176098,0.3750106249935925,0.49975650012493134,0.13383582312716805,0.047316571215705795,0.0,0.0,86.71624603271485,87.41145324707031,86.71624603271485,87.41145324707031,152.7125,154.5625,5
BMSWebView2,CMRules,0.05,0.3832718752324581,0.0054735174894882,0.385041291359812,0.3762939590960741,0.3889455422759056,0.014281030890065853,0.004797749615551605,0.0,0.0,83.02652282714844,84.18949890136719,83.02652282714844,84.18949890136719,152.35625,153.15625,5
BMSWebView2,CMRules,0.1,0.4159570915624499,0.05079799014788314,0.38513058330863714,0.3796815420500934,0.49858266580849886,0.1221231496668847,0.044526401563684266,0.0,0.0,83.71285552978516,84.62487030029297,83.71285552978516,84.62487030029297,150.209375,153.546875,5
BMSWebView2,CMRules,0.2,0.3630351250059903,0.02733511928570323,0.3770732907578349,0.3328452920541167,0.3861536253243685,0.0752960730321954,0.02396028847919198,0.0,0.0,83.90390319824219,84.72549438476562,83.90390319824219,84.72549438476562,148.76875,153.0,5
BMSWebView2,CMRules,0.3,0.3840492581948638,0.002781342409833977,0.3842009580694139,0.38057487504556775,0.3870691251941025,0.007242150194240824,0.002437954113260006,0.0,0.0,83.39093475341797,84.48196411132812,83.39093475341797,84.48196411132812,151.553125,152.90625,5
BMSWebView2,RuleGrowth,0.02,0.37447502482682465,0.024000561607259545,0.38440545834600925,0.3321616668254137,0.389699500054121,0.06409122108572812,0.021037419802785548,0.0,0.0,153.340625,155.3125,0.0,0.0,153.340625,155.3125,5
BMSWebView2,RuleGrowth,0.05,0.3300286582671106,0.001994250339105073,0.330059084109962,0.3268716251477599,0.3317484580911696,0.006042658081805171,0.0017480374943772523,0.0,0.0,150.396875,151.984375,0.0,0.0,150.396875,151.984375,5
BMSWebView2,RuleGrowth,0.1,0.35938278324902057,0.030166613160304227,0.3784938328899443,0.3250565421767533,0.3838484170846641,0.08394006214649806,0.026442202289532965,0.0,0.0,150.875,151.984375,0.0,0.0,150.875,151.984375,5
BMSWebView2,RuleGrowth,0.2,0.36099872468039396,0.04458528218864537,0.3335897922515869,0.32864516600966454,0.43111641565337777,0.12350537312318327,0.03908072293377008,0.0,0.0,150.846875,151.921875,0.0,0.0,150.846875,151.921875,5
BMSWebView2,RuleGrowth,0.3,0.37173688327893617,0.02629093303213009,0.3817044161260128,0.3248916673474014,0.387104082852602,0.07072457486657961,0.023045018873081115,0.0,0.0,152.45,153.734375,0.0,0.0,152.45,153.734375,5
BMSWebView2,ERMiner,0.02,0.4338508084416389,0.004017811460642222,0.4344897922128439,0.4270428749732673,0.4369172500446439,0.009260813584913933,0.003521767022335302,0.0,0.0,217.609375,223.546875,0.0,0.0,217.609375,223.546875,5
BMSWebView2,ERMiner,0.05,0.40410281671211123,0.03076200804735798,0.3859636248089373,0.37796262465417385,0.4395898748189211,0.07612421090663489,0.0269640889183689,0.0,0.0,180.078125,193.875,0.0,0.0,180.078125,193.875,5
BMSWebView2,ERMiner,0.1,0.39074969179928304,0.020082272107928515,0.3815418747253716,0.3772113751620054,0.42606562515720725,0.05139421099849314,0.017602887625782652,0.0,0.0,161.71875,182.515625,0.0,0.0,161.71875,182.515625,5
BMSWebView2,ERMiner,0.2,0.36915332535281775,0.020232462038231157,0.375794708263129,0.33362254220992327,0.3842272087931633,0.05480774694063507,0.017734534904110175,0.0,0.0,155.053125,172.375,0.0,0.0,155.053125,172.375,5
BMSWebView2,ERMiner,0.3,0.4272021420300007,0.039877931289145026,0.43559304205700755,0.3862472088076174,0.4808384170755744,0.09334674938578505,0.03495454794452089,0.0,0.0,176.934375,194.75,0.0,0.0,176.934375,194.75,5
Leviathan,CMRules,0.02,39.007830783631654,0.6465945931204498,39.16449616709724,38.06098237540573,39.801665167324245,0.0165760202536505,0.5667651499276481,6510.0,0.0,539.6742111206055,616.201530456543,539.6742111206055,616.201530456543,649.809375,708.046875,5
Leviathan,CMRules,0.05,5.741844658367336,0.06747072526275183,5.764293583109975,5.6324300416745245,5.802110000047833,0.011750705440006937,0.05914069824606037,956.0,0.0,346.79859924316406,356.37123107910156,346.79859924316406,356.37123107910156,433.1625,447.265625,5
Leviathan,CMRules,0.1,1.4589006667025388,0.05747456051735103,1.4304597498849034,1.4128781668841839,1.5506007918156683,0.0393958011186993,0.05037867352313918,192.0,0.0,325.98741607666017,344.3988571166992,325.98741607666017,344.3988571166992,400.503125,427.09375,5
Leviathan,CMRules,0.2,0.5597599582746625,0.025997023730090937,0.5498371669091284,0.5423697079531848,0.605546458158642,0.04644316433462134,0.022787396011078122,35.0,0.0,103.16141357421876,107.6533432006836,103.16141357421876,107.6533432006836,178.596875,184.875,5
Leviathan,CMRules,0.3,0.3827480084262788,0.004570381211370523,0.3846854162402451,0.37458412488922477,0.38506274996325374,0.01194096666932971,0.004006115764111231,12.0,0.0,56.90588226318359,57.402854919433594,56.90588226318359,57.402854919433594,127.36875,128.96875,5
Leviathan,RuleGrowth,0.02,19.548184650111942,0.11836480813873528,19.552692249882966,19.387229125015438,19.720346292015165,0.0060550281398154,0.10375132879963751,6510.0,0.0,307.196923828125,326.4712600708008,307.196923828125,326.4712600708008,487.39375,527.9375,5
Leviathan,RuleGrowth,0.05,3.9261821252293885,0.07817163283867161,3.971901874989271,3.835134624969214,3.9920022091828287,0.019910343011432362,0.06852045729625443,956.0,0.0,299.90553588867186,339.47132110595703,299.90553588867186,339.47132110595703,470.1,536.171875,5
Leviathan,RuleGrowth,0.1,1.417044183332473,0.16367185023815592,1.4059641249477863,1.1878587496466935,1.6243960000574589,0.11550229143402406,0.14346470218918725,192.0,0.0,183.1097152709961,185.62914276123047,183.1097152709961,185.62914276123047,292.565625,363.421875,5
Leviathan,RuleGrowth,0.2,0.8024983000010252,0.12636758459669856,0.767318167258054,0.7075808327645063,1.0143511672504246,0.15746772871236878,0.11076607164978393,35.0,0.0,68.03849029541016,70.03008270263672,68.03849029541016,70.03008270263672,163.640625,174.71875,5
Leviathan,RuleGrowth,0.3,0.39270484130829575,0.0237541519511339,0.38481766590848565,0.37898912467062473,0.4348080833442509,0.060488564062508035,0.020821432216153107,12.0,0.0,50.61232147216797,55.37377166748047,50.61232147216797,55.37377166748047,130.959375,136.8125,5
Leviathan,ERMiner,0.02,16.17701457515359,0.3931196075628511,16.258191166911274,15.691983625292778,16.626212124712765,0.02430112217161792,0.3445845289930416,6510.0,0.0,1238.3673767089845,1560.8821640014648,1238.3673767089845,1560.8821640014648,1469.059375,1808.078125,5
Leviathan,ERMiner,0.05,2.2918143666349353,0.020336416722509288,2.2825957909226418,2.2720856252126396,2.3231035419739783,0.008873500846566903,0.017825655202435346,956.0,0.0,397.3495376586914,405.6372604370117,397.3495376586914,405.6372604370117,567.51875,574.828125,5
Leviathan,ERMiner,0.1,0.7396401998586952,0.030867672763411725,0.7579238330945373,0.7043655421584845,0.7645456660538912,0.04173336274760194,0.0270567081256333,192.0,0.0,291.8106857299805,292.4548568725586,291.8106857299805,292.4548568725586,422.934375,446.328125,5
Leviathan,ERMiner,0.2,0.4324417749419808,0.004850013417782013,0.43013591691851616,0.4284281670115888,0.440612374804914,0.011215413724616966,0.0042512242000270935,35.0,0.0,70.37893524169922,79.3445053100586,70.37893524169922,79.3445053100586,179.85625,189.15625,5
Leviathan,ERMiner,0.3,0.33815323309972883,0.024424869453113424,0.3289629998616874,0.31979591585695744,0.3810088746249676,0.07223018165232208,0.02140934202797813,12.0,0.0,52.558753967285156,54.84828186035156,52.558753967285156,54.84828186035156,142.746875,145.15625,5
